"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 07, 2025","96,785.0","103,020.0","103,685.0","96,525.0","16.65K","-6.17%"
"Jan 06, 2025","103,150.0","99,450.0","103,565.0","98,660.0","11.43K","3.95%"
"Jan 03, 2025","99,230.0","97,710.0","99,920.0","96,770.0","6.40K","1.06%"
"Jan 02, 2025","98,190.0","95,270.0","98,735.0","94,830.0","8.73K","4.32%"
"Dec 31, 2024","94,120.0","93,280.0","97,010.0","92,615.0","5.75K","-0.88%"
"Dec 30, 2024","94,955.0","93,995.0","95,580.0","91,735.0","8.81K","-0.37%"
"Dec 27, 2024","95,310.0","96,775.0","98,425.0","93,985.0","7.88K","-0.23%"
"Dec 26, 2024","95,525.0","98,555.0","99,995.0","95,095.0","8.20K","-3.61%"
"Dec 24, 2024","99,100.0","95,015.0","99,685.0","93,545.0","10.65K","6.25%"
"Dec 23, 2024","93,270.0","95,730.0","96,595.0","92,460.0","14.66K","-3.45%"
"Dec 20, 2024","96,600.0","98,415.0","98,435.0","92,355.0","20.24K","0.10%"
"Dec 19, 2024","96,505.0","101,385.0","103,190.0","95,765.0","19.91K","-4.33%"
"Dec 18, 2024","100,870.0","106,500.0","106,960.0","100,325.0","18.67K","-5.90%"
"Dec 17, 2024","107,190.0","106,395.0","108,960.0","106,000.0","11.43K","0.59%"
"Dec 16, 2024","106,560.0","103,670.0","108,475.0","103,670.0","15.36K","4.16%"
"Dec 13, 2024","102,300.0","100,875.0","102,605.0","99,620.0","11.15K","1.89%"
"Dec 12, 2024","100,405.0","102,000.0","103,225.0","99,775.0","12.58K","-1.71%"
"Dec 11, 2024","102,150.0","97,550.0","102,465.0","96,290.0","13.65K","5.34%"
"Dec 10, 2024","96,975.0","97,490.0","98,985.0","94,785.0","11.15K","0.19%"
"Dec 09, 2024","96,790.0","101,300.0","102,265.0","94,640.0","14.14K","-5.51%"
"Dec 06, 2024","102,435.0","97,320.0","102,990.0","96,155.0","11.22K","2.67%"
"Dec 05, 2024","99,775.0","99,390.0","105,325.0","98,610.0","19.55K","-0.14%"
"Dec 04, 2024","99,915.0","97,040.0","100,280.0","95,390.0","13.09K","3.50%"
"Dec 03, 2024","96,535.0","96,380.0","97,395.0","94,435.0","9.60K","-0.10%"
"Dec 02, 2024","96,635.0","98,875.0","99,565.0","95,270.0","12.12K","-1.73%"
"Nov 29, 2024","98,339.8","96,415.0","98,560.0","94,760.0","1.45K","1.61%"
"Nov 27, 2024","96,785.0","91,695.0","97,500.0","91,475.0","10.76K","6.36%"
"Nov 26, 2024","90,995.0","94,350.0","95,225.0","90,785.0","15.78K","-4.16%"
"Nov 25, 2024","94,945.0","98,555.0","99,275.0","93,490.0","18.09K","-4.56%"
"Nov 22, 2024","99,485.0","98,860.0","100,170.0","97,430.0","17.26K","0.76%"
"Nov 21, 2024","98,735.0","94,665.0","99,575.0","94,290.0","20.64K","4.22%"
"Nov 20, 2024","94,740.0","92,330.0","95,565.0","92,005.0","13.16K","1.81%"
"Nov 19, 2024","93,060.0","91,840.0","94,715.0","90,770.0","14.59K","1.09%"
"Nov 18, 2024","92,060.0","90,195.0","93,215.0","89,755.0","12.51K","0.08%"
"Nov 15, 2024","91,985.0","87,970.0","92,350.0","87,005.0","12.20K","4.62%"
"Nov 14, 2024","87,920.0","89,990.0","92,335.0","87,345.0","12.05K","-2.59%"
"Nov 13, 2024","90,255.0","89,320.0","94,065.0","86,925.0","20.47K","0.18%"
"Nov 12, 2024","90,090.0","88,735.0","90,725.0","85,890.0","21.81K","2.68%"
"Nov 11, 2024","87,735.0","81,210.0","89,140.0","80,670.0","22.35K","13.41%"
"Nov 08, 2024","77,360.0","76,510.0","77,930.0","76,225.0","10.59K","0.23%"
"Nov 07, 2024","77,180.0","76,395.0","77,535.0","75,070.0","11.72K","0.40%"
"Nov 06, 2024","76,875.0","70,000.0","77,140.0","69,645.0","29.08K","10.04%"
"Nov 05, 2024","69,860.0","68,250.0","70,980.0","67,740.0","8.87K","3.22%"
"Nov 04, 2024","67,680.0","69,000.0","69,785.0","67,140.0","10.30K","-2.94%"
"Nov 01, 2024","69,730.0","70,885.0","72,190.0","69,230.0","11.90K","-1.04%"
"Oct 31, 2024","70,465.0","73,290.0","73,600.0","70,080.0","11.21K","-2.85%"
"Oct 30, 2024","72,535.0","73,170.0","73,775.0","72,135.0","8.00K","-1.10%"
"Oct 29, 2024","73,340.0","70,500.0","74,485.0","70,460.0","13.10K","4.32%"
"Oct 28, 2024","70,300.0","68,185.0","70,600.0","68,070.0","8.45K","2.73%"
"Oct 25, 2024","68,430.5","68,500.0","68,685.0","67,315.0","0.67K","0.32%"
"Oct 24, 2024","68,215.0","66,430.0","68,345.0","66,330.0","6.81K","2.80%"
"Oct 23, 2024","66,360.0","67,610.0","67,870.0","65,210.0","12.27K","-1.67%"
"Oct 22, 2024","67,490.0","67,800.0","67,940.0","66,565.0","10.75K","-0.44%"
"Oct 21, 2024","67,790.0","69,295.0","69,635.0","66,855.0","14.15K","-1.45%"
"Oct 18, 2024","68,785.0","67,245.0","69,255.0","67,245.0","12.55K","2.81%"
"Oct 17, 2024","66,905.0","67,810.0","68,150.0","66,765.0","7.48K","-1.50%"
"Oct 16, 2024","67,925.0","66,670.0","68,695.0","66,665.0","8.33K","1.05%"
"Oct 15, 2024","67,220.0","65,950.0","68,225.0","65,005.0","15.06K","1.63%"
"Oct 14, 2024","66,145.0","63,150.0","66,580.0","62,645.0","13.38K","4.49%"
"Oct 11, 2024","63,305.0","60,220.0","63,675.0","59,990.0","12.26K","5.87%"
