"Date","Price","Open","High","Low","Vol.","Change %"
"11/15/2024","116.31","116.38","116.66","115.34","605.81K","-0.21%"
"11/14/2024","116.56","115.97","116.97","115.47","595.80K","0.62%"
"11/13/2024","115.84","116.34","117.34","115.69","615.29K","-0.40%"
"11/12/2024","116.31","117.84","118.16","116.13","564.76K","-1.14%"
"11/11/2024","117.66","117.84","117.91","117.22","178.87K","-0.16%"
"11/08/2024","117.84","117.19","118.34","116.94","474.35K","0.64%"
"11/07/2024","117.09","116.13","117.50","115.69","574.32K","0.73%"
"11/06/2024","116.25","118.28","118.66","115.31","1.02M","-1.61%"
"11/05/2024","118.16","118.03","118.38","117.16","407.77K","0.40%"
"11/04/2024","117.69","117.28","118.31","117.28","479.09K","0.75%"
"11/01/2024","116.81","118.00","118.78","116.50","730.91K","-0.98%"
"10/31/2024","117.97","117.59","118.22","117.19","838.95K","-0.08%"
"10/30/2024","118.06","117.94","118.88","117.50","628.30K","0.32%"
"10/29/2024","117.69","117.63","118.00","116.75","512.69K","0.03%"
"10/28/2024","117.66","118.19","118.38","117.00","470.69K","-0.53%"
"10/25/2024","118.28","118.63","119.16","118.03","399.37K","-0.39%"
"10/24/2024","118.75","118.03","119.03","117.91","496.73K","0.61%"
"10/23/2024","118.03","118.31","118.47","117.78","481.96K","-0.37%"
"10/22/2024","118.47","118.47","118.97","118.06","484.94K","-0.18%"
"10/21/2024","118.69","120.06","120.19","118.47","411.28K","-1.30%"
"10/18/2024","120.25","120.09","120.50","119.56","379.66K","0.21%"
"10/17/2024","120.00","121.31","121.38","119.94","431.23K","-1.11%"
"10/16/2024","121.34","121.03","121.72","120.97","381.39K","0.23%"
"10/15/2024","121.06","120.09","121.22","120.03","432.66K","1.07%"
"10/14/2024","119.78","120.00","120.13","119.44","144.13K","-0.49%"
"10/11/2024","120.38","120.66","120.72","119.72","360.15K","0.16%"
"10/10/2024","120.19","120.75","120.94","119.88","578.51K","-0.49%"
"10/09/2024","120.78","121.44","121.50","120.53","397.77K","-0.28%"
"10/08/2024","121.13","121.31","121.66","120.75","370.05K","-0.15%"
"10/07/2024","121.31","121.94","122.25","121.22","441.17K","-0.54%"
"10/04/2024","121.97","123.47","123.69","121.78","597.75K","-1.19%"
