Symbol,PN,Type,Date,Volatility
BTC,N/A,QMLE-Trade,2018-12-31,0.536073
BTC,N/A,QMLE-Trade,2019-1-2,0.499556
BTC,N/A,QMLE-Trade,2019-1-3,0.384171
BTC,N/A,QMLE-Trade,2019-1-4,0.348321
BTC,N/A,QMLE-Trade,2019-1-7,0.412436
BTC,N/A,QMLE-Trade,2019-1-8,0.411946
BTC,N/A,QMLE-Trade,2019-1-9,0.211625
BTC,N/A,QMLE-Trade,2019-1-10,1.0931
BTC,N/A,QMLE-Trade,2019-1-11,0.414541
BTC,N/A,QMLE-Trade,2019-1-14,0.568712
BTC,N/A,QMLE-Trade,2019-1-15,0.501494
BTC,N/A,QMLE-Trade,2019-1-16,0.370051
BTC,N/A,QMLE-Trade,2019-1-17,0.404527
BTC,N/A,QMLE-Trade,2019-1-18,0.276202
BTC,N/A,QMLE-Trade,2019-1-22,0.498926
BTC,N/A,QMLE-Trade,2019-1-23,0.344575
BTC,N/A,QMLE-Trade,2019-1-24,0.167947
BTC,N/A,QMLE-Trade,2019-1-25,0.271462
BTC,N/A,QMLE-Trade,2019-1-28,0.402719
BTC,N/A,QMLE-Trade,2019-1-29,0.25968
BTC,N/A,QMLE-Trade,2019-1-30,0.284541
BTC,N/A,QMLE-Trade,2019-1-31,0.278798
BTC,N/A,QMLE-Trade,2019-2-1,0.23178
BTC,N/A,QMLE-Trade,2019-2-4,0.144751
BTC,N/A,QMLE-Trade,2019-2-5,0.0801599
BTC,N/A,QMLE-Trade,2019-2-6,0.240688
BTC,N/A,QMLE-Trade,2019-2-7,0.138867
BTC,N/A,QMLE-Trade,2019-2-8,0.677993
BTC,N/A,QMLE-Trade,2019-2-11,0.24665
BTC,N/A,QMLE-Trade,2019-2-12,0.260601
BTC,N/A,QMLE-Trade,2019-2-13,0.185619
BTC,N/A,QMLE-Trade,2019-2-14,0.195064
BTC,N/A,QMLE-Trade,2019-2-15,0.406653
BTC,N/A,QMLE-Trade,2019-2-19,0.422441
BTC,N/A,QMLE-Trade,2019-2-20,0.306803
BTC,N/A,QMLE-Trade,2019-2-21,0.306927
BTC,N/A,QMLE-Trade,2019-2-22,0.207562
BTC,N/A,QMLE-Trade,2019-2-25,0.37798
BTC,N/A,QMLE-Trade,2019-2-26,0.258788
BTC,N/A,QMLE-Trade,2019-2-27,0.440667
BTC,N/A,QMLE-Trade,2019-2-28,0.508617
BTC,N/A,QMLE-Trade,2019-3-1,0.110013
BTC,N/A,QMLE-Trade,2019-3-4,0.321005
BTC,N/A,QMLE-Trade,2019-3-5,0.348581
BTC,N/A,QMLE-Trade,2019-3-6,0.300724
BTC,N/A,QMLE-Trade,2019-3-7,0.26806
BTC,N/A,QMLE-Trade,2019-3-8,0.248164
BTC,N/A,QMLE-Trade,2019-3-11,0.242746
BTC,N/A,QMLE-Trade,2019-3-12,0.221205
BTC,N/A,QMLE-Trade,2019-3-13,0.187885
BTC,N/A,QMLE-Trade,2019-3-14,0.337186
BTC,N/A,QMLE-Trade,2019-3-15,0.138431
BTC,N/A,QMLE-Trade,2019-3-18,0.368399
BTC,N/A,QMLE-Trade,2019-3-19,0.169852
BTC,N/A,QMLE-Trade,2019-3-20,0.202318
BTC,N/A,QMLE-Trade,2019-3-21,0.297704
BTC,N/A,QMLE-Trade,2019-3-22,0.13205
BTC,N/A,QMLE-Trade,2019-3-25,0.222799
BTC,N/A,QMLE-Trade,2019-3-26,0.162643
BTC,N/A,QMLE-Trade,2019-3-27,0.264264
BTC,N/A,QMLE-Trade,2019-3-28,0.0818636
BTC,N/A,QMLE-Trade,2019-3-29,0.267658
BTC,N/A,QMLE-Trade,2019-4-1,0.248327
BTC,N/A,QMLE-Trade,2019-4-2,1.27805
BTC,N/A,QMLE-Trade,2019-4-3,0.926272
BTC,N/A,QMLE-Trade,2019-4-4,0.985849
BTC,N/A,QMLE-Trade,2019-4-5,0.461219
BTC,N/A,QMLE-Trade,2019-4-8,0.702916
BTC,N/A,QMLE-Trade,2019-4-9,0.454485
BTC,N/A,QMLE-Trade,2019-4-10,0.502539
BTC,N/A,QMLE-Trade,2019-4-11,0.591107
BTC,N/A,QMLE-Trade,2019-4-12,0.443015
BTC,N/A,QMLE-Trade,2019-4-15,0.464276
BTC,N/A,QMLE-Trade,2019-4-16,0.312016
BTC,N/A,QMLE-Trade,2019-4-17,0.309163
BTC,N/A,QMLE-Trade,2019-4-18,0.280306
BTC,N/A,QMLE-Trade,2019-4-22,0.4047
BTC,N/A,QMLE-Trade,2019-4-23,0.44252
BTC,N/A,QMLE-Trade,2019-4-24,0.490454
BTC,N/A,QMLE-Trade,2019-4-25,0.254558
BTC,N/A,QMLE-Trade,2019-4-26,0.825544
BTC,N/A,QMLE-Trade,2019-4-29,0.30163
BTC,N/A,QMLE-Trade,2019-4-30,0.304311
BTC,N/A,QMLE-Trade,2019-5-1,0.272284
BTC,N/A,QMLE-Trade,2019-5-2,0.201403
BTC,N/A,QMLE-Trade,2019-5-3,0.577701
BTC,N/A,QMLE-Trade,2019-5-6,0.422598
BTC,N/A,QMLE-Trade,2019-5-7,0.529301
BTC,N/A,QMLE-Trade,2019-5-8,0.487743
BTC,N/A,QMLE-Trade,2019-5-9,0.466338
BTC,N/A,QMLE-Trade,2019-5-10,0.517788
BTC,N/A,QMLE-Trade,2019-5-13,1.06708
BTC,N/A,QMLE-Trade,2019-5-14,1.26751
BTC,N/A,QMLE-Trade,2019-5-16,0.888114
BTC,N/A,QMLE-Trade,2019-5-17,1.86988
BTC,N/A,QMLE-Trade,2019-5-20,1.02073
BTC,N/A,QMLE-Trade,2019-5-21,0.655115
BTC,N/A,QMLE-Trade,2019-5-22,0.589499
BTC,N/A,QMLE-Trade,2019-5-23,0.670484
BTC,N/A,QMLE-Trade,2019-5-24,0.595046
